"shapeid","x","y"
"2","103.7324719","1.3272542"
"2","103.7324005","1.3271192"
"2","103.7324512","1.3270875"
"2","103.7324464","1.3270371"
"2","103.732406","1.3270188"
"2","103.7323765","1.3268979"
"2","103.7324555","1.3268459"
"3","103.7277527","1.3123203"
"3","103.7273158","1.3106199"
"3","103.7274368","1.3098865"
"3","103.7273462","1.3091944"
"3","103.7277887","1.3079512"
"3","103.7286502","1.308029"
"3","103.7286704","1.3078266"
"3","103.7278449","1.3077932"
"3","103.7279234","1.3075726"
"3","103.7284941","1.3076882"
"3","103.7285312","1.3075372"
"3","103.7279821","1.3074123"
"3","103.7280566","1.3072022"
"3","103.7285848","1.3074123"
"3","103.728636","1.3072562"
"3","103.7281248","1.3070328"
"3","103.728282","1.3064429"
"3","103.7284016","1.3064325"
"3","103.7286044","1.3068025"
"3","103.7287986","1.3067156"
"3","103.7285741","1.3063123"
"3","103.7286559","1.30616"
"3","103.7286291","1.3059374"
"3","103.7287117","1.3058905"
"3","103.7288184","1.3062075"
"3","103.7290105","1.306267"
"3","103.7285939","1.3054553"
"3","103.7287302","1.3045299"
"3","103.7289279","1.3042883"
"3","103.7289807","1.3040526"
"3","103.7292607","1.3033573"
"3","103.7291073","1.3033063"
"3","103.7295145","1.3020238"
"3","103.7296197","1.3020612"
"3","103.7297772","1.3015932"
"3","103.728104","1.3002604"
"3","103.7259337","1.3065102"
"3","103.7255974","1.3064212"
"3","103.7259991","1.305288"
"3","103.7241034","1.3046691"
"3","103.7232343","1.3053679"
"3","103.7233666","1.305721"
"3","103.7234449","1.3059232"
"3","103.7237142","1.3065244"
"3","103.7240299","1.3072691"
"3","103.7247594","1.3089839"
"3","103.7248517","1.3089461"
"3","103.7249767","1.3089952"
"3","103.725519","1.3106261"
"3","103.7253683","1.3106574"
"3","103.7253983","1.3108754"
"3","103.7254882","1.3108728"
"3","103.7259761","1.3125243"
"3","103.7262585","1.3127023"
"3","103.7264278","1.3131047"
"3","103.7263625","1.313214"
"3","103.7271832","1.3146553"
"3","103.7280253","1.315881"
"3","103.7280572","1.3161174"
"3","103.7283576","1.3164433"
"3","103.7284087","1.3166415"
"3","103.7286324","1.3168204"
"3","103.7286515","1.3170952"
"3","103.7284662","1.3172294"
"3","103.7285692","1.3173936"
"3","103.7287027","1.3176064"
"3","103.7289583","1.3177726"
"3","103.7290158","1.3181496"
"3","103.729153","1.3183183"
"3","103.7295702","1.3189972"
"3","103.729613","1.3191205"
"3","103.7301215","1.3199988"
"3","103.7301862","1.3200266"
"3","103.7302262","1.320116"
"3","103.7303187","1.3201699"
"3","103.7304754","1.3204318"
"3","103.7305524","1.3204678"
"3","103.73065","1.3207118"
"3","103.7307656","1.3209224"
"3","103.7308606","1.3210379"
"3","103.7309813","1.321079"
"3","103.7312535","1.3213307"
"3","103.7312715","1.3215182"
"3","103.7313944","1.3215205"
"3","103.7316423","1.3217506"
"3","103.731697","1.3219121"
"3","103.7317618","1.3220377"
"3","103.7317635","1.3221322"
"3","103.7317101","1.3221422"
"3","103.7317338","1.3222221"
"3","103.7318209","1.3221997"
"3","103.7318453","1.32234"
"3","103.7318059","1.3224085"
"3","103.731847","1.3225302"
