obstacle,vertX,vertY
164,508.71393,370.4135
164,520.86804,384.69363
164,564.9057,382.4859
164,564.1463,368.15057
164,523.8993,369.7016
164,523.1401,341.28027
164,507.95462,341.6363
165,637.7903,262.2467
165,652.2165,259.94455
165,656.0129,278.08905
165,664.36926,292.11768
165,676.5133,307.05615
165,715.24097,336.46436
165,706.8844,348.19867
165,664.365,315.41046
165,653.7396,304.0559
165,643.86896,288.54572
165,638.5453,272.4623
165,637.7903,262.2467
166,664.3701,377.4061
166,676.5135,386.70673
166,700.05096,354.79663
166,687.90247,345.48123
166,664.3701,377.4061
167,514.0287,310.09412
167,514.02875,323.78854
167,594.5118,323.9309
167,594.5118,310.22455
167,514.0287,310.09412
168,498.0838,266.1747
168,498.08908,291.76276
168,523.9043,291.6202
168,523.8991,266.00854
168,498.0838,266.1747
169,577.04834,261.78394
169,577.05334,301.69485
169,592.2387,301.5523
169,590.7153,261.65335
169,577.04834,261.78394
170,817.7379,83.15138
170,873.9259,121.8733
170,886.0739,105.28331
170,829.88635,66.56151
170,817.7379,83.15138
171,628.6807,108.59437
171,645.3849,116.35541
171,667.403,76.96881
171,690.1799,79.342094
171,708.4025,93.97395
171,703.08936,107.43129
171,700.0525,119.939125
171,699.29126,136.63547
171,700.04816,146.79309
171,700.05054,153.86627
171,719.7916,150.36554
171,718.2731,137.83412
171,718.2751,123.511055
171,723.58966,108.00093
171,731.1807,91.32767
171,697.0133,59.71419
171,658.2903,57.92233
171,628.6807,108.59437
172,775.9779,111.4421
172,797.9968,130.53586
172,856.461,128.13875
172,856.45905,143.66035
172,794.95764,145.44035
172,777.49646,131.02248
172,747.8873,163.18237
172,736.49567,153.20177
172,775.9779,111.4421
173,715.2361,181.95528
173,727.38715,171.79778
173,735.7365,180.16338
173,747.8848,186.73753
173,761.55176,189.13475
173,776.73724,189.70435
173,791.1635,186.12048
173,804.07117,175.99806
173,814.70325,165.24709
173,823.0529,153.60526
173,835.9605,152.73894
173,837.4813,162.26845
173,832.1665,171.22794
173,822.2937,181.36188
173,810.1453,193.22879
173,794.2035,202.16528
173,775.9809,206.40189
173,759.277,205.7967
173,743.3323,202.2366
173,730.4216,196.2667
173,719.7918,188.51758
173,715.2361,181.95528
174,621.0891,169.60262
174,621.0861,186.73766
174,687.14294,184.35231
174,700.0532,164.74886
174,687.1429,155.12411
174,677.2751,167.64447
174,621.0891,169.60262
175,316.61716,81.31204
175,331.04337,81.31203
175,331.80267,96.822105
175,334.84326,108.725746
175,340.15857,124.85315
